iid,gender,pid,match,age,race,imprace,imprelig,from,income,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,QUE BUSCA ,Attractive1,Sincere1,Intelligent1,Fun1,Ambitious1,Has shared interests/hobbies1,DESPUES DE CITA,Decision,Attractive,Sincere,Intelligent,Fun,Ambitious,Shared Interests/Hobbies,like,prob,QUE PIENSA DE SI MISMO,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2
2,0,19,1,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,1,7,6,8,9,4,5,5,6,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,20,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,1,6,7,8,7,9,8,8,7,QUE PIENSA DE SI MISMO,7,6,8,9,4
3,0,11,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,7,9,10,7,8,9,8,7,QUE PIENSA DE SI MISMO,,,,,
3,0,12,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,9,7,9,8,9,7,8,7,QUE PIENSA DE SI MISMO,,,,,
3,0,13,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,7,9,9,7,9,7,8,7,QUE PIENSA DE SI MISMO,,,,,
3,0,14,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,9,7,9,7,9,7,8,7,QUE PIENSA DE SI MISMO,,,,,
3,0,15,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,9,10,10,10,10,10,9,,QUE PIENSA DE SI MISMO,,,,,
3,0,16,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,8,10,10,7,9,9,8,,QUE PIENSA DE SI MISMO,,,,,
3,0,17,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,8,9,10,7,7,9,8,7,QUE PIENSA DE SI MISMO,,,,,
3,0,18,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,7,9,9,8,9,7,8,7,QUE PIENSA DE SI MISMO,,,,,
3,0,19,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,9,9,9,9,9,9,9,7,QUE PIENSA DE SI MISMO,,,,,
3,0,20,0,25,2,8,4,Connecticut,,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,DESPUES DE CITA,0,8,7,9,7,9,7,8,7,QUE PIENSA DE SI MISMO,,,,,
4,0,11,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,0,4,10,8,5,8,7,6,7,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,12,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,0,8,7,8,10,7,8,8,1,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,13,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,0,4,7,8,8,6,7,4,1,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,14,1,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,1,8,10,7,10,7,10,8,10,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,15,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,0,6,9,8,9,8,9,7,7,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,16,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,0,5,10,8,4,8,2,4,3,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,17,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,0,7,10,10,7,10,5,5,1,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,18,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,0,5,9,9,5,9,7,6,6,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,19,1,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,1,9,8,10,10,7,8,8,8,QUE PIENSA DE SI MISMO,6,8,7,8,6
4,0,20,0,23,2,1,1,Texas,"37,754.00",5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,DESPUES DE CITA,1,8,9,10,10,8,8,10,8,QUE PIENSA DE SI MISMO,6,8,7,8,6
5,0,11,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,0,5,8,8,2,2,2,7,5,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,12,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,0,8,6,6,5,5,5,6,4,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,13,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,0,4,6,8,8,6,5,6,5,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,14,1,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,1,8,5,5,7,7,9,8,2,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,15,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,0,6,7,7,5,4,8,7,4,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,16,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,1,5,6,7,5,7,8,7,3,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,17,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,1,6,6,8,5,5,6,6,3,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,18,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,1,5,5,7,6,7,5,6,4,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,19,1,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,1,7,5,7,8,7,9,9,4,QUE PIENSA DE SI MISMO,6,6,9,9,9
5,0,20,0,21,2,8,1,Bowdoin College,"86,340.00",4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,DESPUES DE CITA,1,9,6,7,9,6,5,10,3,QUE PIENSA DE SI MISMO,6,6,9,9,9
6,0,11,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,1,6,9,7,6,7,6,6,6,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,12,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,1,6,9,9,6,8,2,7,6,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,13,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,0,4,7,9,4,3,2,6,2,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,14,1,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,1,8,6,7,8,2,8,9,4,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,15,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,0,5,4,8,8,4,2,4,3,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,16,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,0,3,7,6,1,1,1,2,2,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,17,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,1,8,8,8,8,3,4,8,7,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,18,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,0,4,8,9,2,8,3,5,5,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,19,1,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,1,7,6,8,8,6,9,9,6,QUE PIENSA DE SI MISMO,5,8,9,8,3
6,0,20,0,23,4,1,1,MD,"60,304.00",3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,DESPUES DE CITA,1,8,9,9,9,10,7,9,8,QUE PIENSA DE SI MISMO,5,8,9,8,3
7,0,11,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,0,4,8,8,5,7,4,7,4,QUE PIENSA DE SI MISMO,,,,,
7,0,12,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,0,6,6,8,4,9,4,7,3,QUE PIENSA DE SI MISMO,,,,,
7,0,13,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,0,3,6,8,7,8,8,7,8,QUE PIENSA DE SI MISMO,,,,,
7,0,14,1,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,1,7,8,8,7,7,6,8,6,QUE PIENSA DE SI MISMO,,,,,
7,0,15,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,0,4,7,7,4,8,5,5,6,QUE PIENSA DE SI MISMO,,,,,
7,0,16,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,0,4,8,7,4,5,4,5,5,QUE PIENSA DE SI MISMO,,,,,
7,0,17,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,1,7,7,8,7,7,7,8,7,QUE PIENSA DE SI MISMO,,,,,
7,0,18,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,0,5,7,8,5,9,5,5,7,QUE PIENSA DE SI MISMO,,,,,
7,0,19,1,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,1,6,6,8,8,8,6,6,6,QUE PIENSA DE SI MISMO,,,,,
7,0,20,0,22,4,2,4,Southern California,"54,620.00",5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,DESPUES DE CITA,1,8,6,7,7,8,6,7,5,QUE PIENSA DE SI MISMO,,,,,
8,0,11,0,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,5,8,7,4,7,5,4,5,QUE PIENSA DE SI MISMO,,,,,
8,0,12,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,8,7,7,9,6,7,8,7,QUE PIENSA DE SI MISMO,,,,,
8,0,13,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,5,8,8,6,7,7,5,5,QUE PIENSA DE SI MISMO,,,,,
8,0,14,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,8,6,5,6,6,5,5,6,QUE PIENSA DE SI MISMO,,,,,
8,0,15,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,6,8,8,5,6,7,6,5,QUE PIENSA DE SI MISMO,,,,,
8,0,16,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,6,8,8,5,6,7,6,5,QUE PIENSA DE SI MISMO,,,,,
8,0,17,0,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,6,7,8,5,7,7,6,6,QUE PIENSA DE SI MISMO,,,,,
8,0,18,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,5,6,7,4,5,6,5,4,QUE PIENSA DE SI MISMO,,,,,
8,0,19,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,8,8,5,9,8,9,7,10,QUE PIENSA DE SI MISMO,,,,,
8,0,20,1,25,2,1,1,"London, England",,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,DESPUES DE CITA,1,7,6,8,7,9,8,8,7,QUE PIENSA DE SI MISMO,,,,,
9,0,11,0,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,8,10,9,8,7,6,5,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,12,1,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,10,10,10,10,10,10,10,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,13,1,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,5,10,10,6,6,6,8,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,14,1,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,10,9,8,8,7,7,7,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,15,1,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,5,10,8,8,5,5,5,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,16,1,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,8,9,9,7,6,5,6,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,17,1,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,6,8,9,6,6,6,7,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,18,0,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,6,7,8,7,9,6,7,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,19,1,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,8,5,5,6,5,5,7,6,QUE PIENSA DE SI MISMO,7,10,8,10,9
9,0,20,0,26,6,1,1,"Palm Springs, California",,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,DESPUES DE CITA,1,7,8,7,8,7,8,8,5,QUE PIENSA DE SI MISMO,7,10,8,10,9
10,0,11,0,26,2,4,4,94115,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,QUE BUSCA ,15,15,15,40,10,5,DESPUES DE CITA,0,6,10,10,6,6,,6,3,QUE PIENSA DE SI MISMO,10,5,10,10,10
