iid,gender,pid,match,age,race,imprace,imprelig,from,Income,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,QUE BUSCA ,Attractive1,Sincere1,Intelligent1,Fun1,Ambitious1,Has shared interests/hobbies1,QUE PIENSA DE SI MISMO,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,Matches no/si efectivos,no,yes,Si saldrian con ellos otravez,no,yes,Rating que obtuvieron de sus dates,Ambitious,Attractive,Fun,Intelligent,Shared Interests/Hobbies,Sincere,like,prob
11,1,1,0,27,2,7,3,Argentina,0.00,5,4,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,QUE BUSCA ,35,20,20,20,0,5,QUE PIENSA DE SI MISMO,8,8,8,6,5,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.4,5.6,5.4,8.2,5.222222222,8.8,6.2,5.2
12,1,1,0,22,2,1,1,England,29237.00,1,1,Corporate Lawyer,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,QUE BUSCA ,60,0,0,40,0,0,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.9,7.1,6.7,7.1,6.111111111,6.6,6.9,4.2
13,1,1,1,22,4,3,5,Southern California,0.00,7,1,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,QUE BUSCA ,19,18,19,18,14,12,QUE PIENSA DE SI MISMO,3,7,7,8,2,Matches no/si efectivos,6,4,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,5.9,4.8,7,8.8,5.888888889,7.9,6.4,5.111111111
14,1,1,1,23,2,1,1,"Cincinnati, Ohio",56580.00,4,1,Corporate attorney,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,QUE BUSCA ,30,5,15,40,5,5,QUE PIENSA DE SI MISMO,9,9,9,9,9,Matches no/si efectivos,2,8,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,6.6,8.2,7.6,7.4,7.444444444,7.6,7.7,5.5
15,1,1,1,24,3,3,1,Miami,36782.00,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,QUE BUSCA ,30,10,20,10,10,20,QUE PIENSA DE SI MISMO,7,7,9,7,9,Matches no/si efectivos,7,3,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,6.5,5.7,7.2,7.7,6.666666667,7.6,6.3,4.777777778
16,1,1,0,25,2,9,2,Milan - Italy,0.00,5,1,research/financial industry,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,QUE BUSCA ,50,0,30,10,0,10,QUE PIENSA DE SI MISMO,6,7,8,8,7,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,6,5.6,4.4,7.6,4.666666667,8.4,5.6,3.777777778
17,1,1,0,30,2,1,1,"Georgia, USA",38548.00,3,2,academics or journalism,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,QUE BUSCA ,35,15,25,10,5,10,QUE PIENSA DE SI MISMO,6,7,8,5,7,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,6.7,6.7,6.1,8.5,6.666666667,7.6,6.9,4.9
18,1,1,0,27,2,8,8,New York,52010.00,6,1,Financial Services,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,QUE BUSCA ,33.33,11.11,11.11,11.11,11.11,22.22,QUE PIENSA DE SI MISMO,6,8,8,6,9,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,7.5,5.1,5.2,7.7,5.555555556,7.4,5.8,5.6
19,1,1,1,28,2,1,1,california,0.00,1,1,ceo,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,QUE BUSCA ,50,0,25,10,0,15,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,1,9,Si saldrian con ellos otravez,1,9,Rating que obtuvieron de sus dates,7.1,7.7,8.5,7.7,7.7,6.8,7.6,6.9
20,1,1,0,24,2,1,1,Washington DC,0.00,1,1,CEO,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,QUE BUSCA ,100,0,0,0,0,0,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,1,9,Rating que obtuvieron de sus dates,8.4,7.5,8.2,7.9,7.3,7.3,8.3,6.6
21,0,40,0,21,4,8,10,New Jersey,0.00,7,4,Undecided,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,QUE BUSCA ,12,18,20,16,16,18,QUE PIENSA DE SI MISMO,6,9,9,7,10,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,13,3,Rating que obtuvieron de sus dates,6.666666667,5.0625,5.666666667,7.75,5,7.3125,5.875,5.066666667
22,0,40,0,27,1,1,2,"Ann Arbor, MI",28418.00,6,2,Informatics,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,QUE BUSCA ,20,20,20,10,10,20,QUE PIENSA DE SI MISMO,6,7,7,7,7,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,13,3,Rating que obtuvieron de sus dates,6.071428571,4.8,5.5,6.5,4,6.625,5.0625,3.733333333
23,0,40,0,21,4,9,6,Hong Kong,0.00,1,1,psychologist,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,QUE BUSCA ,10,20,40,10,10,10,QUE PIENSA DE SI MISMO,5,7,7,6,7,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,10,6,Rating que obtuvieron de sus dates,6.4,5.9375,6.25,6.9375,4.923076923,7.266666667,5.8125,5.071428571
24,0,40,0,27,2,2,3,new york,43185.00,6,4,health/nutrition oriented social worker,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,QUE BUSCA ,10,20,20,15,20,15,QUE PIENSA DE SI MISMO,8,9,8,9,8,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,8,8,Rating que obtuvieron de sus dates,6.714285714,6.5,6.625,7.333333333,5.285714286,6.933333333,5.90625,4.533333333
25,0,40,0,25,2,10,2,Iowa,23152.00,5,2,Social Worker,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,QUE BUSCA ,20,20,15,15,15,15,QUE PIENSA DE SI MISMO,8,8,8,8,6,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,2,14,Rating que obtuvieron de sus dates,6,7.6875,7.333333333,6.933333333,4.846153846,7.266666667,6.84375,5
26,0,40,0,23,2,2,4,California,43664.00,5,2,Social work with children,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,QUE BUSCA ,20,20,20,15,15,10,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,1,15,Rating que obtuvieron de sus dates,6.5,7.625,7.466666667,7.266666667,6.153846154,7.133333333,7.15625,5.666666667
27,0,40,0,22,3,1,5,"Westchester, NY",48441.00,6,2,Speech Language Pathologist,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,QUE BUSCA ,17,10,18,20,25,10,QUE PIENSA DE SI MISMO,6,7,5,7,8,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,1,15,Rating que obtuvieron de sus dates,6.571428571,8.1875,7.5625,6.866666667,5.785714286,7.4,7.53125,5.266666667
28,0,40,0,26,2,,,,0.00,,,,,,,,,,,,,,,,,,,,,QUE BUSCA ,,,,,,,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,8,8,Rating que obtuvieron de sus dates,6.625,6.625,6.375,7.25,5.642857143,7.4375,6.5625,5.4
29,0,40,0,22,2,4,5,"Washington, DC",61152.00,6,1,Social Work Administration,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,QUE BUSCA ,20,22,18,15,15,10,QUE PIENSA DE SI MISMO,7,8,6,7,7,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,13,3,Rating que obtuvieron de sus dates,6.533333333,5.75,6.133333333,6.533333333,4.692307692,7.2,5.9375,5.357142857
30,0,40,0,23,2,2,4,Boston,0.00,7,2,Lawyer,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,QUE BUSCA ,10,20,20,20,20,10,QUE PIENSA DE SI MISMO,6,8,8,9,8,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,12,4,Rating que obtuvieron de sus dates,7.285714286,6.0625,6.266666667,7.333333333,4.916666667,6.866666667,5.733333333,4.928571429
31,0,40,0,24,2,4,8,"Washington, DC",36485.00,4,3,law,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,QUE BUSCA ,35,10,20,20,10,5,QUE PIENSA DE SI MISMO,8,6,8,8,8,Matches no/si efectivos,12,4,Si saldrian con ellos otravez,3,13,Rating que obtuvieron de sus dates,7.6,7.875,6.5,7.4375,5.818181818,7.25,7,5
32,0,40,0,27,4,1,1,new jersey,0.00,4,2,Professor,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,QUE BUSCA ,50,0,50,0,0,0,QUE PIENSA DE SI MISMO,7,5,9,9,9,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,7,9,Rating que obtuvieron de sus dates,7.466666667,6.933333333,7.2,8.2,5.428571429,7.8,6.75,4.533333333
33,0,40,0,30,2,4,8,Michigan,41507.00,6,1,Clidren's TV,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,QUE BUSCA ,30,20,30,10,0,10,QUE PIENSA DE SI MISMO,6,8,8,7,8,Matches no/si efectivos,16,1,Si saldrian con ellos otravez,12,4,Rating que obtuvieron de sus dates,7.266666667,6,6.8125,8.0625,5.533333333,7.8125,6.3125,5.133333333
34,0,40,0,21,4,2,2,SIngapore,0.00,6,2,Banking,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,QUE BUSCA ,30,5,30,15,15,5,QUE PIENSA DE SI MISMO,7,2,4,7,5,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,5,11,Rating que obtuvieron de sus dates,7.25,7.1875,6.866666667,7.333333333,5.214285714,7.3125,6.8125,5.8
35,0,40,0,25,2,9,7,Brazil,17134.00,6,3,Capital Markets,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,QUE BUSCA ,20,23,23,22,7,5,QUE PIENSA DE SI MISMO,8,9,9,8,8,Matches no/si efectivos,11,5,Si saldrian con ellos otravez,5,11,Rating que obtuvieron de sus dates,7.2,7.3125,5.571428571,7.866666667,5.214285714,6.533333333,6.2,4.333333333
36,0,40,0,26,2,7,8,Brandeis University,0.00,5,2,Biostatistics,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,QUE BUSCA ,20,25,20,15,15,5,QUE PIENSA DE SI MISMO,8,7,7,8,7,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,8,8,Rating que obtuvieron de sus dates,7.133333333,6.25,6.066666667,7.133333333,5.230769231,7,6.066666667,5.333333333
37,0,40,0,27,2,5,8,"Cincinnati, OH",30038.00,6,2,Organizational Change Consultant,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,QUE BUSCA ,10,10,30,25,10,15,QUE PIENSA DE SI MISMO,6,6,9,6,4,Matches no/si efectivos,14,2,Si saldrian con ellos otravez,13,3,Rating que obtuvieron de sus dates,6.4,4.933333333,5.666666667,7.4,5,6.866666667,5.666666667,4.6
38,0,40,0,23,1,8,1,New York,33772.00,4,3,law,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,QUE BUSCA ,50,10,20,10,10,0,QUE PIENSA DE SI MISMO,8,2,8,2,6,Matches no/si efectivos,13,3,Si saldrian con ellos otravez,9,7,Rating que obtuvieron de sus dates,7.714285714,6.533333333,7.6,7.733333333,6,7.533333333,6.8,5.133333333
39,0,40,0,24,3,6,4,Los Angeles,24997.00,6,4,lawyer,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,QUE BUSCA ,20,20,20,15,15,10,QUE PIENSA DE SI MISMO,6,10,8,6,7,Matches no/si efectivos,15,1,Si saldrian con ellos otravez,14,2,Rating que obtuvieron de sus dates,6.2,4.333333333,7.266666667,6.866666667,5.357142857,7.333333333,6.066666667,4.533333333
40,1,21,0,25,4,9,6,"SF Bay Area, CA",42096.00,7,7,tech professional,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,QUE BUSCA ,25,20,25,20,10,0,QUE PIENSA DE SI MISMO,4,10,8,7,6,Matches no/si efectivos,19,1,Si saldrian con ellos otravez,15,4,Rating que obtuvieron de sus dates,6,4.105263158,5.947368421,6.473684211,4.8,6.631578947,5.263157895,4.263157895
41,1,21,0,30,4,1,1,China,0.00,6,5,law,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,QUE BUSCA ,30,20,10,30,0,10,QUE PIENSA DE SI MISMO,5,5,5,5,5,Matches no/si efectivos,19,1,Si saldrian con ellos otravez,19,1,Rating que obtuvieron de sus dates,6.631578947,3.684210526,4,6.666666667,3.642857143,6.473684211,4.666666667,3.833333333
42,1,21,0,23,4,1,6,San Francisco(home)/Los Angeles(undergrad),28891.00,7,4,Engineer,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,QUE BUSCA ,20,25,20,15,10,10,QUE PIENSA DE SI MISMO,7,9,8,6,6,Matches no/si efectivos,19,1,Si saldrian con ellos otravez,15,4,Rating que obtuvieron de sus dates,6.777777778,4.947368421,5.736842105,6.888888889,4.8,6.052631579,5.473684211,3.842105263
43,1,21,0,24,2,1,1,Spain,0.00,6,3,Academic,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,QUE BUSCA ,25,35,30,10,0,0,QUE PIENSA DE SI MISMO,4,7,6,3,2,Matches no/si efectivos,18,1,Si saldrian con ellos otravez,16,3,Rating que obtuvieron de sus dates,6.333333333,4.263157895,4.631578947,6.947368421,3.9375,6.368421053,4.842105263,4.078947368
44,1,21,0,24,2,3,3,Israel,0.00,3,1,academia,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,QUE BUSCA ,25,15,25,25,15,15,QUE PIENSA DE SI MISMO,6,9,8,7,9,Matches no/si efectivos,15,4,Si saldrian con ellos otravez,15,4,Rating que obtuvieron de sus dates,5.894736842,4.894736842,4.611111111,6.789473684,4.157894737,6.631578947,5,4.263157895
45,1,21,0,28,2,6,6,Switzerland,0.00,6,3,banker / academia,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,QUE BUSCA ,25,15,25,15,0,20,QUE PIENSA DE SI MISMO,7,8,8,6,7,Matches no/si efectivos,15,4,Si saldrian con ellos otravez,15,4,Rating que obtuvieron de sus dates,6.526315789,5.210526316,3.777777778,6.894736842,4.055555556,6.210526316,5.052631579,3.684210526
46,1,21,0,26,2,2,3,Italy,0.00,6,2,banker,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,QUE BUSCA ,20,35,20,10,10,5,QUE PIENSA DE SI MISMO,8,7,7,8,7,Matches no/si efectivos,15,4,Si saldrian con ellos otravez,10,9,Rating que obtuvieron de sus dates,6.294117647,7.631578947,6.777777778,7.315789474,5.625,6.789473684,6.763157895,4.921052632
47,1,21,0,30,2,2,2,Italy,0.00,6,1,Academic,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,QUE BUSCA ,20,20,25,25,5,5,QUE PIENSA DE SI MISMO,8,7,7,7,9,Matches no/si efectivos,18,1,Si saldrian con ellos otravez,18,1,Rating que obtuvieron de sus dates,5.947368421,4.052631579,5.631578947,6.473684211,4.611111111,5.842105263,5.263157895,4.368421053
48,1,21,0,22,2,9,2,Israel,0.00,5,2,Music production,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,QUE BUSCA ,30,15,25,25,5,0,QUE PIENSA DE SI MISMO,8,8,7,7,6,Matches no/si efectivos,18,1,Si saldrian con ellos otravez,11,8,Rating que obtuvieron de sus dates,5.631578947,6.736842105,6.789473684,5.894736842,5.111111111,6.263157895,6.157894737,4.473684211
49,1,21,0,25,4,1,3,Philadelphia,62635.00,3,2,Entrepreneur,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,QUE BUSCA ,20,20,20,20,5,15,QUE PIENSA DE SI MISMO,7,6,8,8,7,Matches no/si efectivos,13,6,Si saldrian con ellos otravez,11,8,Rating que obtuvieron de sus dates,7.055555556,6.315789474,6.973684211,7.5,5.941176471,7.055555556,6.421052632,4.947368421
50,1,21,0,27,1,4,4,Houston,12063.00,6,2,lawyer,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,QUE BUSCA ,35,10,20,15,10,10,QUE PIENSA DE SI MISMO,7,9,9,9,9,Matches no/si efectivos,15,4,Si saldrian con ellos otravez,8,11,Rating que obtuvieron de sus dates,7.666666667,6.315789474,7.631578947,7.388888889,5.875,6.578947368,6.473684211,5.105263158
51,1,21,0,23,2,5,10,Philadelphia,29809.00,5,3,Law,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,QUE BUSCA ,25,10,35,15,0,15,QUE PIENSA DE SI MISMO,6,9,10,3,2,Matches no/si efectivos,18,1,Si saldrian con ellos otravez,14,5,Rating que obtuvieron de sus dates,6.078947368,5.368421053,4.210526316,6.473684211,4.352941176,4.868421053,4.605263158,3.5
52,1,21,0,21,2,10,9,Brooklyn,26482.00,4,1,Intellectual Property Attorney,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,QUE BUSCA ,15,20,15,30,5,15,QUE PIENSA DE SI MISMO,5,7,8,5,7,Matches no/si efectivos,18,1,Si saldrian con ellos otravez,15,4,Rating que obtuvieron de sus dates,6.444444444,3.833333333,5.111111111,7.176470588,4.823529412,6.647058824,5.388888889,4.222222222
53,1,21,0,28,2,2,2,Boston,0.00,6,2,Medicine,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,QUE BUSCA ,40,15,20,10,5,10,QUE PIENSA DE SI MISMO,8,9,8,8,8,Matches no/si efectivos,18,1,Si saldrian con ellos otravez,10,9,Rating que obtuvieron de sus dates,7.277777778,6.888888889,5.611111111,7.705882353,5.5,7,6.527777778,4.805555556
54,1,21,0,28,2,1,1,New York,30147.00,5,1,consulting,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,QUE BUSCA ,40,20,20,20,0,0,QUE PIENSA DE SI MISMO,7,9,8,7,8,Matches no/si efectivos,19,1,Si saldrian con ellos otravez,19,1,Rating que obtuvieron de sus dates,6.473684211,4.421052632,4.842105263,6.75,5,6.315789474,5,3.894736842
55,1,21,0,23,1,1,1,California,39919.00,4,2,LAWYER,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,QUE BUSCA ,20,25,25,10,10,10,QUE PIENSA DE SI MISMO,6,10,9,9,10,Matches no/si efectivos,16,3,Si saldrian con ellos otravez,13,6,Rating que obtuvieron de sus dates,6.777777778,6.210526316,7.111111111,7,5.277777778,7.052631579,6.342105263,4.578947368
56,0,66,0,23,2,10,9,Florida,41466.00,3,1,social worker,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,QUE BUSCA ,17,18,18,15,17,15,QUE PIENSA DE SI MISMO,9,9,7,9,7,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,3,7,Rating que obtuvieron de sus dates,7,7.5,6.9,6.5,4.888888889,6.8,6.4,3.7
57,0,66,0,22,2,10,10,New Jersey,0.00,5,2,Social Worker,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,QUE BUSCA ,10,20,20,20,15,15,QUE PIENSA DE SI MISMO,5,9,9,10,9,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,5.7,5.3,5.9,6.9,4.666666667,7.7,5.6,3.2
58,0,66,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,QUE BUSCA ,,,,,,,QUE PIENSA DE SI MISMO,9,8,8,9,8,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,6.333333333,5.888888889,6.375,6.333333333,5.888888889,7,5.555555556,3.333333333
59,0,66,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,QUE BUSCA ,,,,,,,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,10,1,Rating que obtuvieron de sus dates,4,5.4,3.75,6.5,3.75,7.25,4.25,2
60,0,66,1,29,6,3,10,New Jersey,0.00,6,2,comedienne,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,QUE BUSCA ,5,20,25,15,15,20,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,6,4.8,6.5,6.4,4.666666667,7,4.8,4
61,0,66,0,28,2,1,5,"Tuscaloosa, Alabama",23988.00,5,2,Academic,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,QUE BUSCA ,15,15,20,15,15,20,QUE PIENSA DE SI MISMO,7,7,9,7,7,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,5.7,3.9,5.3,7.555555556,4.3,7.1,5,3.9
62,0,66,0,26,3,1,1,"Albuquerque, NM",28989.00,7,2,attorney,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,QUE BUSCA ,30,10,20,20,10,10,QUE PIENSA DE SI MISMO,9,9,9,9,9,Matches no/si efectivos,7,3,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,6.5,8.3,7,7.6,6.375,7.1,7.7,4.6
63,0,66,0,24,4,1,3,"Palo Alto, California",50948.00,6,1,Undecided,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,QUE BUSCA ,5,15,45,25,0,10,QUE PIENSA DE SI MISMO,5,5,9,9,3,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,9,1,Rating que obtuvieron de sus dates,5.888888889,4.4,6.2,7,4.625,6.5,5.2,4.2
64,0,66,0,27,4,6,3,New York,38022.00,6,5,social worker,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,QUE BUSCA ,10,25,25,10,10,20,QUE PIENSA DE SI MISMO,8,8,8,5,8,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,8,2,Rating que obtuvieron de sus dates,6.5,5.3,5.6,7.4,4.7,6.2,5.2,3.5
65,0,66,0,23,6,6,3,"Boston, MA",0.00,5,3,Social Worker.... Clinician,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,QUE BUSCA ,17,17,17,17,17,15,QUE PIENSA DE SI MISMO,8,9,8,9,9,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.2,6.5,7.8,7,5.7,7.3,6.4,4.7
